code,nl
"values = { STR_ : True , STR_ : False }",values is an dictionary with 2 arguments : boolean False for 'false ' and boolean True for 'true ' .
del self .  expire info [ key ],delete the value under the key key of the self._expire_info dictionary .
"def add arguments ( self , parser ) :",define the method add_arguments with arguments self and parser .
basedirs = [ os . path . abspath ( basedir ) for basedir in basedirs if os . path . is dir ( basedir ) ],"replace all the elements of the basedir list by its corresponding absolute directory path , only is that directory exists ."
self . close ( ),call the self.close method .
"def   init   ( self , * args , ** kwargs ) :","define the method __init__ with arguments : self , unpacked list args and unpacked dictionary kwargs ."
return result,return result .
except IndexError :,"if IndexError exception is caught ,"
"def id for label ( self , id  ) :",define the method id_for_label with 2 arguments : self and id_ .
arg = args [ NUM_ ],substitute first element of args for arg .
return . join ( force text ( s ) for s in strings ),"for every s in strings , call the function force_text with an argument s , join the results in a string , return the result ."
from django . utils . translation import trans real as trans,from django.utils.translation import trans_real as trans .
label = STR_,label is a string 'label '
break,break from the loop execution .
"yield "" STR_ """,yield string `` # Also note : You 'll have to insert the output of 'django-admin.py sqlcustom [ app_label ] ' '' as the result .
class URLValidator ( RegexValidator ) :,derive the class URLValidator form the RegexValidator base class .
"def is  url ( self , template ) :",define the method is_url with arguments self and template .
ch2 = None,ch2 is None .
for ldir in dirs :,"for every ldir in dirs ,"
self . nodelist = nodelist,substitute nodelist for self.nodelist .
return not bool ( self . option list ),"convert self.option_list into a boolean , return the inverted value ."
return self . data . hour,return self.data.hour .
pass,do nothing .
"extra files . extend ( map ( lambda x : x . strip ( ) , file . split ( STR_ ) ) )","split file by ' , ' character , apply on its every element a lambda function which takes an argument x ,"
if item [ STR_ ] is not None :,"and dictionary with an entry : 'html ' for 'type ' . if value under the 'enclosure ' key of the item dictionary is not None ,"
if settings . DEBUG PROPAGATE EXCEPTIONS :,"if settings.DEBUG_PROPAGATE_EXCEPTIONS is True ,"
"def import module ( name , package = None ) :",define the function import_module with 3 arguments : name and package set to None .
"return date ( datetime . now ( tz = tzinfo ) , self . format string )","call the function date with 2 arguments : result of the call to the function datetime.now with an argument tz set to tzinfo ,"
"def format html join ( sep , format string , args generator ) :","use the result as an argument for the call to the function mark_safe , return the result . define the function format_html_join with 3 arguments : sep , format_string and args_generator ."
if settings . configured :,"if settings.configured is true ,"
"key = self . make key ( key , version = version )","call the method self.make_key Whit key and version set to version as arguments , substitute the result for key ."
return final path,where ' % s ' is replaced with final_path and base_path . return final_path .
from django . conf import settings,from django.conf import settings into default name space .
params = [ source [ NUM_ ] ],params is a list with second element of source as a element .
return t [ NUM_ ],return first element of t .
self [ k ] = v,substitute v for value under the k key of self dictionary .
try :,"try ,"
class Command ( BaseCommand ) :,derive the class Command from the BaseCommands base class .
def filepath to uri ( path ) :,"and with safe set to bytes string `` / # % [ ] = : ; $ & ( ) + , ! ? * @ '~ '' , return the result . define function filepath_to_uri with path as the argument ."
self . auto id = auto id,and substitute the result for self.prefix . substitute auto_id for self.auto_id .
else :,"if not ,"
else :,"if not ,"
option = STR_,option is a string ' -- testrunner= ' .
"elif hasattr ( s , STR_ ) :","otherwise , if s has an attribute '__unicode__ ' ,"
from   future   import unicode literals,from __future__ import unicode_literals into default name space .
except Exception as e :,"if Exception , renamed to e , exception is caught ,"
raise TypeError ( STR_ STR_ ),raise an TypeError exception with an argument string 'In order to allow non-dict objects to be serialized set the safe parameter to False ' .
in itial value = in itial if in itial is not None else,"substitute initial for initial_value , if initial is not None , if not , initial_value is an empty string ."
"for matches , pat , defaults in pattern . reverse dict . getlist ( name ) :","for every matches , pat and defaults in return value of the method pattern.reverse_dict.getlist called with an argument name ,"
if self . takes context :,"if self.takes_context is true ,"
count = itertools . count ( NUM_ ),"call the itertools.count function with argument integer 1 , substitute the result for count ."
try :,"try ,"
if self .  should delete form ( form ) :,"call the method self._should_delete_form with an argument , if it evaluates to true ,"
for error in self . as data ( ) :,"call the method self.as_data , for every error in the result ."
streaming = True,streaming is boolean True .
usage = sorted ( get commands ( ) . keys ( ) ),"call the function get_commands , call the method keys on the result , substitute sorted result for usage ."
from   future   import unicode literals,from __future__ import unicode_literals into default name space .
"from django . db import connections , DEFAULT DB ALIAS",from django.db import connections and DEFAULT_DB_ALIAS into default name space .
@ register . filter ( is  safe = True ),decorator function register.filter with an argument is_safe set to boolean True .
else :,"if not ,"
"space = unicode ( "" "" )",convert whitespace character to unicode and substitute the result for space .
def content ( self ) :,define the method content with an argument self .
value =,value is an empty string .
"def render ( self , name , value , attrs = None ) :","define the method render with 4 arguments : self , name , value and attrs set to None ."
"super ( HttpResponseRedirectBase , self ) .   init   ( * args , ** kwargs )","where ' % s ' is replaced with parsed.scheme . call the __init__ method from the base class of the HttpResponseRedirectBase class , called with arguments : unpacked list args ,"
match = ( pattern == * or pattern . startswith ( STR_ ) and ( host . endswith ( pattern ) or host == pattern [ NUM_ : ] ) or pattern == host ),"if pattern equals '* ' or pattern starts with ' . ' or pattern equals host , and only if :"
return id ,return id_ .
return guessed path,return guessed_path .
self .  body = self . read ( ),"call the method self.read , substitute the result or self._body ."
pass,do nothing .
if best doublecolon end == len ( hextets ) :,"if best_doublecolon_end equals length of hextets ,"
smart str = smart text,substitute smart_text for smart_str .
"def render to string ( template name , dictionary = None , context instance = None , dirs = None ) :","define the function render_to_string with 4 arguments : template_name , dictionary set to None , context_instance set to None and dirs set to None ."
signals = STR_,signal is a string 'signals '
def next char ( in put iter ) :,define the function next_char with an argument input_iter .
"from django . utils . html import format html , format html join , escape","from django.utils.html import format_html , format_html_join and escape into default name space ."
else :,"if not ,"
if not template dirs :,"if template_dirs is false ,"
"return type ( form ) ( class name , ( form , ) , form class attrs )","get the type of form object , return an instance of resulting class created with 3 arguments : class_name , tuple with an element form ,"
for module in templatetags modules :,"for every module in templatetags_modules ,"
raise NotImplementedError ( STR_ ),raise an NotImplementedError with argument string 'subclasses of FileUploadHandler must provide a receive_data_chunk ( ) method ' .
from django . utils . six import StringIO,from django.utils.six import StringIO into default name space .
endbmatch = endblock re . match ( t . contents ),"call the function endblock_re.match with an argument t.contents , substitute the result for endbmatch ."
return repr ( dict ( self ) ),return the printable representation of the self object converted to a dictionary .
else :,"if not ,"
"raise self . error ( token , "" STR_ "" % ( command , get text list ( [ "" STR_ "" % p for p in parse until ] ) ) )","raise an self.error exception with 2 arguments : token and string `` Invalid block tag : ' % s ' , expected % s '' ,"
"return "" STR_ """,return an string `` < IfNode > '' .
else :,"and csrf_token , return the result . if not ,"
return value,return value .
"def urlize ( value , autoescape = None ) :",define the function urlize with 2 arguments value and autoescape set to None .
return value [ NUM_ ],return first element of value .
import code,import code .
if protocol ! = STR_ and unpack ipv4 :,"if protocol is not equal to string 'both ' and unpack_ipv4 is true ,"
"or ig vars . pop ( STR_ , None )",remove '__weakref__ ' key from the orig_vars dictionary .
if value in self . empty values :,"if value is contained in self.empty_values ,"
if threading :,"if threading is true ,"
self .  input data = in put data,substitute input_data for self._input_data .
"return func ( * self .   args , ** self .   kw )","call the function func with 2 arguments : unpacked list self.__args and unpacked dictionary self.__kw , return the result ."
if app config . models module is None :,"if app_config.models_module is None ,"
return True,return boolean True .
memoryview = buffer,substitute buffer for memoryview .
try :,"try ,"
in put type = STR_,input_type is a string 'file ' .
return not self .  is expired ( f ),"call the method self._is_expired with argument f , invert the boolean result and return it ."
if tag not in TemplateTagNode . mapping :,"if tag is not contained in TemplateTagNode.mapping ,"
"mail = EmailMultiAlternatives ( subject , message , from email , recipient list , connection = connection )","call the EmailMultiAlternatives function with , subject , message , from_email , recipient_list and connection set to connection , as arguments , assign the result to mail ."
"def render ( self , name , value , attrs = None ) :","define the method render with 4 arguments : self , name , value and attrs set to None ."
base url = settings . MEDIA URL,substitute settings.MEDIA_URL for base_url .
in ternal use only = False,internal_use_only is a boolean False .
if auto id and STR_ not in attrs and STR_ not in widget . attrs :,"if auto_id is true and 'id ' is not contained in attrs and 'id ' is not contained in widget.attrs ,"
ttl = force text ( ttl ),"call the function force_text with an argument ttl , substitute the result for ttl ."
"raise ValidationError ( self . error messages [ STR_ ] , code = STR_ )",raise an ValidationError with 2 arguments : value under the 'invalid ' key of the self.error_messages dictionary and code set to 'invalid ' .
"def build instance ( Model , data , db ) :","define the function build_instance with 3 arguments : Model , data and db ."
if code changed ( ) :,"if return value of the code_changed function is true ,"
vary on = ( ),vary_on is an empty tuple .
for path in collect :,"for every path in collect ,"
def  get validation exclusions ( self ) :,define the method _get_validation_exclusions with an argument self .
bits = bits [ : - NUM_ ],substitute bits without last two elements for bits .
start = non capturing groups . pop ( ),"remove first element from non_capturing_groups , substitute it for start ."
"@ register . filter ( expects localtime = True , is  safe = False )",decorator function register.filter with 2 arguments expects_localtime set to boolean True and is_safe set to boolean False .
return sorted ( all files ),sort all_files and return it .
return parser,return parser
except NoReverseMatch :,"substitute the result for url . if NoReverseMatch exception is caught ,"
"def to python ( self , value ) :",define the method to_python with arguments self and value .
pass,do nothing .
raise,raise an exception .
self . connection . ehlo ( ),call the method self.connection.ehlo .
if bf . is  hidden :,"called with an argument error , for every error in bf.errors , substitute the result for bf_errors . if bf.is_hidden is true ,"
table = connections [ db ] . ops . quote name ( self .  table ),"call the ops.quote_name method with argument self._table on the object under the db key of connections dictionary , substitute the result for table ."
selected choices = set ( force text ( v ) for v in selected choices ),"call the function force_text with an argument v , for every v in selected_choices , add results to a set ,"
"return STR_ % ( self .   class   .   name   , dictreprs )",return a string ' % s ( % s ) ' formated with self.__class__.__name__ and dictreprs .
"return TimestampSigner ( key , salt = salt ) . sign ( base64d )","instantiate the TimestampSigner object with arguments key and salt set to salt , call its method sign with an argument base64 , return it ."
if has old option :,"if has_old_option is true ,"
return obj dict,return obj_dict .
p = locale . find ( STR_ ),"find first index of occurrence of character '- ' in locale , substitute it for p ."
opts = in stance .  meta,substitute instance._meta for opts .
"msgs , errors , status = popen wrapper ( args )","substitute the result for args . call the function popen_wrapper with an argument args , assign the result to msgs , errors and status , respectively ."
def   enter   ( self ) :,define __enter__ method with self as the argument .
"raise ValidationError ( self . error messages [ STR_ ] , code = STR_ )",raise an ValidationError with 2 arguments : value under the 'invalid_date ' key of the self.error_messages dictionary and code set to string 'invalid_date ' .
self . id = id,substitute id for self.id .
self . options . update ( { STR_ : False } ),"call the method self.options.update with dictionary as an argument , containing 1 element : boolean False for 'use_decimal ' ."
return,return an empty string .
return [ ],return an empty list .
try :,"try ,"
@ python 2 unicode compatible,"python_2_unicode_compatible decorator ,"
"if is in stance ( rhs , SafeText ) :","if rhs is an instance of SafeText ,"
if STR_ in self . attrs :,"if 'id ' is contained in self.attrs ,"
translators comment start = None,translators_comment_start is None .
"self . xml . startElement ( "" STR_ "" , { "" STR_ "" : field . name , "" STR_ "" : field . rel .   class   .   name   , "" STR_ "" : smart text ( field . rel . to .  meta ) , } )","call the method self.xml.startElement with 2 arguments : string 'field ' and dictionary containing 3 entries : field.name for 'name ' ,"
else :,"if not ,"
self .  populate ( ),call the method self._populate .
"error msg = "" STR_ """,error_msg is a string `` Your TEMPLATE_DIRS setting is empty . Change it to point to at least one template directory . `` .
"def resolve variable ( path , context ) :",define the method resolve_variable with 2 arguments : path and context .
ip ( ),call the function ip .
"def pbkdf2 ( password , salt , iterations , dklen = NUM_ , digest = None ) :","define the function pbkdf2 with 5 arguments : password , salt , iterations , dklen set to integer 0 and digest set to None ."
"get format lazy = lazy ( get format , six . text type , list , tuple )","call the function lazy with 4 arguments : get_format , six.text_type , list and tuple , substitute the result for get_format_lazy ."
except KeyError :,"if KeyError exception is caught ,"
class  MovedItems (  LazyModule ) :,derive class _MovedItems from the _LazyModule base class .
class Command ( BaseCommand ) :,derive the class Command from the BaseCommand base class .
"return super ( SlugField , self ) . clean ( value )","call the clean method wiht value argument from the base class of the SlugField class , return the result ."
self .  post = QueryDict ( ),self._post is an instance of QueryDict class created with an empty string as argument .
try :,"binary or os.O_EXCL if allow_overwrite is boolean False , use the previous as the mode to open new_file_name file , assign the file descriptor to fd . try ,"
@ stringfilter,"decorator stringfilter ,"
"def  wrapped view ( request , * args , ** kwargs ) :","called with an argument view_func . define the function _wrapped_view with 3 arguments : request , unpacked list args and unpacked dictionary kwargs ."
validate ipv6 address ( value ),call the function validate_ipv6_address with an argument value .
confirm = STR_,confirm is a string 'yes ' .
"lineno comment map . setdefault ( t . lineno , [ ] ) . append ( t . contents )","call the method lineno_comment_map.setdefault with 2 arguments : t.lineno and an empty list , append t.contents to the result ."
"id  = final attrs . get ( STR_ , None )","substitute the result for final_attrs . get the value under the 'id ' key of final_attrs dictionary , substitute if for id_ if the key doesnt exists , id_ is None ."
config [ STR_ ] = self . as tuple ( config [ STR_ ] ),"call the method self.as_tuple with an argument value under 'mailhost ' key of config dictionary ,"
except AttributeError :,"if AttributeError exception is caught ,"
"parser . add argument ( STR_ , metavar = self . label , nargs = + )","call the method parser.add_argument with 3 arguments : string 'args ' , metavar set to self.label and nargs set to '+ ' ."
"HttpResponse . content . fset ( self , value )",call the method HttpResponse.content.fset with 2 arguments : self and value .
"name , ext = os . path . splitext ( name )","call the os.path.splitex with argument name , assign the result to name and ext , respectively ."
else :,"if not ,"
"for field , errors in self . error dict . items ( ) :","for every field , errors in self.error_dict.items method return value ,"
import sys,import module sys .
data = base64 . b64decode ( raw data ),"call the function base64.b64decode with an argument raw_data , substitute the result for data ."
mode = stat . S IMODE ( st . st mode ),"call the function stat.S_IMODE with argument st.st_mode , substitute the result for mode ."
try :,"try ,"
else :,"if not ,"
ext = self . splitext ( guessed filename ) [ NUM_ ],"call the method self.splitext with an argument guessed_filename , substitute the second element of the result for ext ."
language code = get language ( ),"call the method get_language , substitute the result for language_code ."
"if end not in ( "" > "" , "" STR_ "" ) :","if end is not a ' > ' or '/ > ' character ,"
from django . utils . module loading import import string,from django.utils.module_loading import import_string into default name space .
for field name in self . fields :,"error_class , label_suffix and empty_permitted . for every field_name in self.fields ,"
import django,import module django .
or iginal = UnicodeDecodeError .   str   ( self ),"call the method UnicodeDecodeError.__str__ , with self as the argument , substitute the result for original ."
from django . core . files . utils import FileProxyMixin,from django.core.files.utils import FileProxyMixin into default name space .
"def encoding ( self , value ) :",define the method encoding with arguments self and value .
from django . core . files import temp as tempfile,from django.core.files import temp as tempfile into default name space .
old style list = True,old_style_list is boolean True .
current = current [ bit ],substitute element at the bit index of current for current .
self . saved forms . append ( form ),append form to self.saved_forms .
import logging,import module logging .
if STR_ not in os . environ :,"if string 'DJANGO_AUTO_COMPLETE ' is not contained in os.environ ,"
tried = [ ],tried is an empty list .
else :,"with unpacked list value as an argument , return the pk field of the result . if not ,"
except KeyboardInterrupt :,"if KeyboardInterrupt exception is caught ,"
if CONTEXT SEPARATOR in result :,"if CONTEXT_SEPARATOR is contained in result ,"
"return func ( self .  wrapped , * args )",call the function func with 2 arguments : self._wrapped and unpacked list args .
"for x , y in zip ( val1 , val2 ) :","zip val1 and va2 into list of tuples , for every x and y in the result ,"
return STR_ . join ( statements ),"join statements into a string , separated by newlines , return it ."
renamed = False,renamed is boolean False .
"return [ widget . value from datadict ( data , files , name + STR_ % i ) for i , widget in enumerate ( self . widgets ) ]","for every i and widget in enumerated iterable self.widgets , call the function widget.value_from_datadict with 3 arguments : data ,"
"def  truncate html ( self , length , truncate , text , truncate len , words ) :","define the method _truncate_html with 6 arguments : self , length , truncate , text , truncate_len and words ."
if klass not in cls .   dispatch :,"if klass is not contained in cls.__dispatch ,"
"def   init   ( self , * args , ** kwargs ) :","define the method __init__ with 3 arguments : self , unpacked list args and unpacked dictionary kwargs ."
return self . id,return self.id .
return False,return boolean False .
os . remove ( old file name ),remove the old_file_name file .
from binascii import Error as BinasciiError,from binascii import Error as BinasciiError into default name space .
return False,return boolean True .
except KeyError :,"if KeyError exception is caught ,"
VARIABLE ATTRIBUTE SEPARATOR = STR_,VARIABLE_ATTRIBUTE_SEPARATOR is a string ' . ' .
return language [ : p ] . lower ( ) + STR_ + language [ p + NUM_ ] . upper ( ) + language [ p + NUM_ : ] . lower ( ),"convert fist p elements of language to lowercase , append ' _ ' to it ,"
"return val , encoded",return val and encoded as a tuple .
"elif is in stance ( o , decimal . Decimal ) :","otherwise if o is an instance of decimal.Decimal object ,"
if form in forms to delete :,"if form is contained in forms_to_delete ,"
"if is in stance ( expires , datetime . datetime ) :","if expires is an instance of datetime.datetime class ,"
extra classes = extra classes . split ( ),"split extra_classes into words , by whitespaces , substitute the result for extra_classes ."
"filters = config . pop ( STR_ , None )","remove config dictionary element under 'filter ' key , if it exists substitute it for filters , if not , filters is None ."
if i + NUM_ < len ( chunks ) :,"if i incremented by 1 is lesser than length of chunks ,"
for arg in list ( args ) + list ( six . itervalues ( kwargs ) ) :,"call the function six.itervalues with an argument kwargs , convert the result to a list and append it to a list containing args ,"
self .  num pages = NUM_,self._num_pages is a integer 0 .
self .  set regex ( regex ),unpacked dictionary kwargs . call the method self._set_regex with an argument regex .
"if not is in stance ( stream or string , ( bytes , six . string types ) ) :","if stream_or_string is not an instance of bytes or six.string_types ,"
def  get val ( ) :,define the function _get_val .
from django . core . serializers . python import Deserializer as PythonDeserializer,from django.core.serializers.python import Deserializer as PythonDeserializer into default name space .
"base , ext = os . path . splitext ( base )","call the method os.path.splitext with an argument base , substitute the result for base and ext , respectively ."
"new msg = ( "" STR_ "" "" STR_ "" "" STR_ "" "" STR_ "" "" STR_ "" "" STR_ "" ) % ( connection . settings dict [ STR_ ] , e )",new_msg is a tuple containing a string : `` Database % s could n't be flushed . Possible reasons : \n ''
"patch response headers ( response , cache timeout = - NUM_ )",call the function patch_response with response and cache_timeout decremented by integer 1 as arguments .
class PageNotAnInteger ( InvalidPage ) :,derive the class PageNotAnInteger from the InvalidPage base class .
else :,"covert to lowercase locale elements from ( p+1 ) -th index to the end , append it to the previous result , return it . if not ,"
"def add item elements ( self , handler , item ) :","define the method add_item_elements with 2 arguments , handler self and item ."
"raise CommandError ( "" STR_ "" )",raise an CommandError exception with an argument `` Database inspection is n't supported for the currently selected database backend . `` .
"cursor . execute ( connections [ db ] . ops . cache key culling sql ( ) % table , [ cull num ] )","evaluate the method connections [ db ] .ops.cache_key_culling_sql , evaluate the result by table modulus , call the method cursor.execute ,"
return ValidationError ( self . data ) . error list,"instantiate ValidationError class with an argument self.data , return its field error_list ."
if options :,"if options is true ,"
"in itial value = field . to python ( hidden widget . value from datadict ( self . data , self . files , in itial prefixed name ) )","call the method ( hidden_widget.value_from_datadict with 3 arguments : self.data , self.files and initial_prefixed_name ,"
self . object list = object list,substitute object_list for self.object_list .
if self . save as new :,"and unpacked dictionary kwargs , substitute the result for form . if self.save_as_new is true ,"
"parser . add argument ( STR_ , STR_ , dest = STR_ , help = STR_ STR_ STR_ , action = STR_ )","dest as a string 'all ' default as boolean False and help as a string 'Updates the message files for all existing locales. ' . call the method parser.add_argument with 5 arguments : string ' -- extension ' , string '-e ' , dest set to string 'extensions ' ,"
"from django . utils . datastructures import MultiValueDict , MergeDict",from django.utils.datastructures import MultiValueDict and MergeDict into default name space .
ULONG PTR = c int64,substitute c_int64 for ULONG_PTR .
"return super ( Info , self ) .   init   ( INFO , * args , ** kwargs )","call the __init__ method with 3 arguments : INFO , unpacked list args and unpacked dictionary kwargs from the base class of Info ."
"parser . add argument ( STR_ , action = STR_ , dest = STR_ , default = DEFAULT DB ALIAS , help = STR_ STR_ )","call the method parser.add_argument with arguments : string ' -- database ' , action set to string 'store ' , dest set to string 'database ' ,"
class ContentNotRenderedError ( Exception ) :,derive the class ContentNotRenderedError from the Exception base class .
pk = self . data [ pk key ],and self.model._meta.pk.name . substitute the value under the pk_key key of the self.data dictionary for pk .
"def find command ( cmd , path = None , pathext = None ) :","define the function find_command with 3 arguments : cmd , path set to None and pathext set to None ."
"def default ( self , o ) :",define the method defalt with arguments self and o .
if settings . STATIC URL is None :,"if settings.STATIC_URL is None ,"
"super ( DictWrapper , self ) .   init   ( data )","call the method __init__ with an argument data , from the base class of the class DictWrapper ."
return mark safe ( STR_ . join ( output ) ),"join elements of output into a string with newline as separator , use it as an argument for the call to the function mark_safe , return it ."
def regex ( self ) :,define the method regex with an argument self .
"msgs = STR_ . join ( dropwhile ( len , msgs . split ( STR_ ) ) )","call the function dropwhile with 2 arguments : function len and msgs spit into parts at newlines , join the result into a string ,"
self . fail silently = fail silently,substitute fail_silently for self.fail_silently .
self .  closable objects . append ( value ),append value to the self._closable_objects list .
deactivate ( ),call the method deactivate .
"parser . add argument ( STR_ , help = STR_ )","call the method parser.add_argument with 2 arguments : string 'app_label ' ,"
from django . core . files import uploadhandler,from django.core.files import uploadhandler into default name space .
"for x , y in zip ( val1 , val2 ) :","zip val1 and va2 into list of tuples , for every x and y in the result ,"
"def chars ( self , num , truncate = None , html = False ) :","define the method chars with 4 arguments : self , num , truncate set to None , html set to boolean False ."
"def prepare value ( self , value ) :",define the method prepare_value with 2 arguments : self and value .
"if hasattr ( self . file , STR_ ) and hasattr ( self . file , STR_ ) :","if self.file has an attribute 'tell ' and an attribute 'seek ' ,"
"s = six . text type ( s , encoding , errors )","call the function six.text_type with s , encoding and errors as the arguments , substitute the result for s ."
def stringfilter ( func ) :,define the method stringfilter with an argument func .
"return import string ( path ) ( * args , ** kwargs )","call the import_string with arguments path , call the return function with arguments : unpacked list args and unpacked dictionary kwargs , return the result ."
class CsrfTokenNode ( Node ) :,derive the class CsrfTokenNode from Node base class .
raise MultiPartParserError ( STR_ % boundary ),raise an MultiPartParserError with an argument string 'Invalid boundary in multipart : % s ' is replaced with boundary .
return [ ],return an empty list .
return self . management form . cleaned data [ INITIAL FORM COUNT ],return the value under the INITIAL_FORM_COUNT key of the self.management_form.cleaned_data dictionary .
module =  import module ( self . mod ),"call the function _import_module with an argument self.mod , substitute the result for module ."
else :,"if not ,"
"extension map = { STR_ : TarArchive , STR_ : TarArchive , STR_ : TarArchive , STR_ : TarArchive , STR_ : TarArchive , STR_ : ZipArchive , }","extension_map is a dictioanry with 6 initial elntries : TarArchive for '.tar ' , TarArchive for '.tar.bz2 ' , TarArchive for '.tar.gz ' ,"
elif len ( fks to parent ) == NUM_ :,"otherwise if length of fks_to_parent is zero ,"
"yield key , self [ key ]",yield key and value under key key of self dictionary .
"def   init   ( self , url , length , mime type ) :","define the method __init__ with 4 arguments : self , url , length and mime_type ."
"def simple tag ( self , func = None , takes context = None , name = None ) :","define the method simple_tag with 4 arguments : self , func and None , takes_context and None and name set to None ."
raise OverflowError ( STR_ ),raise an OverflowError exception with an argument string 'dklen too big ' .
token = self . next token ( ),"call the method self.next_token , substitute the result for token ."
cache = dict ( ),cache is an empty dictionary .
"assert name , "" STR_ """,if name is boolean False raise an assert error with message string `` The name argument is not allowed to be empty . `` .
loader = MigrationLoader ( connection ),"loader is an instance of MigrationLoader class , created with an argument connection ."
"def add arguments ( self , parser ) :",define the method add_arguments with 2 arguments self and parser .
if not self . render value :,"if self.render_value is false ,"
def slugify ( value ) :,define the function slugify with an argument value .
if not want unicode :,"if want_unicode is false ,"
if app config . models module is None :,"if app_config.models_module is None ,"
if self . field . cache choices :,"if self.field.cache_choices is true ,"
if result and ( mode == STR_ or ( mode == STR_ and current expires < now ) ) :,"if mode equals to string 'add ' and current_expires is lesser than now , or mode equals to string 'set ' , and result is true ,"
else :,"if not ,"
class Serializer ( object ) :,derive the class Serializer from the object base class .
if id  :,"if id_ is true ,"
raise NotImplementedError ( STR_ ),raise an NotImplementedError exception with argument string 'subclasses of Storage must provide a created_time ( ) method ' .
break,break from the loop execution .
from   future   import unicode literals,from __future__ import unicode_literals into default name space .
f . seek ( NUM_ ),call the method f.seek with an argument integer 0 .
self . tags = { },self.tags is an empty dictionary .
from django . utils . safestring import mark safe,from django.utils.safestring import mark_safe into default name space .
if STR_ in kwargs :,"if 'file_path ' is contained in kwargs ,"
"def templatize ( src , or igin = None ) :",define the function templatize with 2 arguments : src and origin set to None .
try :,"try ,"
continue,skip this loop iteration .
pass,do nothing .
else :,"if not ,"
collect = [ ],collect is an empty list .
if filename not in  mtimes :,"if filename is not contained in _mtimes ,"
return self . field . prepare value ( data ),"self.form.initial , if it exists , or self.field.initial if not , substitute the result for data . call the method self.field.prepare_value with an argument data , return the result ."
context . render context . pop ( ),remove the first element from context.render_context .
else :,"if not ,"
"raise InvalidTemplateLibrary ( "" STR_ "" "" STR_ "" , ( name , filter func ) )","raise an InvalidTemplateLibrary exception with an argument string ( `` Unsupported arguments to Library.filter : ( % r , % r ) '' ,"
def d ( self ) :,define the method d with an argument self .
all unique checks = all unique checks . union ( set ( unique checks ) ),all_unique_checks is union of all_unique_checks set and unique_checks set .
if STR_ in context :,"if string 'forloop ' is contained in context ,"
"def timeuntil filter ( value , arg = None ) :",define the function timeuntil_filter with 2 arguments value and arg set to None .
self .  archive = zipfile . ZipFile ( file ),"call the method zipfile.ZipFile with an argument self , substitute the result for self._archive ."
if not supported platform or not is  a tty :,"if supported_platform is False or is_a_tty is False ,"
self . save m2m = save m2m,substitute save_m2m for self.save_m2m .
self . template dirs = template dirs,substitute template_dirs for self.template_dirs .
def start serialization ( self ) :,define the method start_serialization with an argument self .
"new class = super ( RenameMethodsBase , cls ) .   new   ( cls , name , bases , attrs )","call the method __new__ with 4 arguments : cls , name , bases and attrs , from the base class of the class RenameMethodsBase ."
"def get format modules ( lang = None , reverse = False ) :",define the function get_format_modules with 2 arguments : lang set to None and reverse set to boolean False .
return settings . LANGUAGE CODE,return settings.LANGUAGE_CODE .
"first item , second item = list ","substitute list_ for first_item and second_item , respectively ."
def media ( self ) :,define the method media with an argument self .
if field type == STR_ and row [ NUM_ ] :,"if field_type equals a string CharField ' and fourth element of row is true ,"
hfile = msvcrt . get osfhandle (  fd ( f ) ),"call the function msvcrt.get_osfhandle with return value of the _fd ( f ) function as argument , substitute the result for hfile ."
self . kwargs = kwargs,substitute kwargs for self.kwargs .
if middle . startswith ( opening ) :,"if middle starts with opening ,"
if t . contents . lstrip ( ) . startswith ( TRANSLATOR COMMENT MARK ) :,"strip t.contents from the left side of whitespaces , if the result starts with TRANSLATOR_COMMENT_MARK ,"
"for line in content . split ( "" STR_ "" ) :","split content by newline character , for every line in result ,"
import sys,import module sys .
UnlockFileEx = windll . kernel32 . UnlockFileEx,substitute windll.kernel32.UnlockFileEx for UnlockFileEx .
value = str ( value ),convert value to an string and substitute it for value .
base64d = base64d [ NUM_ : ],substitute first element of base64d for base64d .
import re,import module re .
self . can write . release ( ),call the method self.can_write.release .
import io,import module io .
return mark safe ( value ),"call the function mark_safe with an argument value , return the result ."
class BaseEmailBackend ( object ) :,derive the class BaseEmailBackend from the object base class .
week number = j // NUM_,"divide j by integer 7 , substitute the floored result for week_number ."
for part in singular :,"and trimmed and result of the function join_tokens called with 2 arguments : plural and trimmed , write the result to out . for every part in singular ,"
selected choices . remove ( option value ),call the method selected_choices.remove with an argument option_value .
plural = [ ],plural is an empty list .
"handler . endElement ( "" STR_ "" )",call the method handler.endElement with an argument string 'entry ' .
"resolver = urlresolvers . RegexURLResolver ( r STR_ , urlconf )","call the method urlresolvers.RegexURLResolver with raw literal string '^/ ' and urlconf as the arguments , substitute the result for resolver ."
if urlconf is None :,"if urlconf is None ,"
if self . is  bound and i < self . in itial form count ( ) :,"if self.is_bound is true and i is smaller than self.initial_form_count ,"
self . add root elements ( handler ),call the method self.add_root_elements with an argument handler .
errors . extend ( new errors ),call the method errors.extend with argument new_errors .
"if value and hasattr ( value , "" STR_ "" ) :","substitute the result for value under the 'input ' key of the substitutions dictionary . if value is true and value has an attribute 'url ' ,"
"choices = [ ( i , i ) for i in range ( NUM_ , NUM_ ) ]","substitute the result for the value under the 'month ' key of the html dictionary . for every i in successive list of integers from 1 to 30 , append tuple containing i and i elements into a list ,"
from io import BytesIO,from io import BytesIO into default name space .
